ТБ;ГОСБ;ИНН;Организация;Сегмент;Сотрудник;Задач;Закрыто;Успешно;Невозможно отработать;В работе;Статус отработки;Противоречие в решениях;Все задачи закрыты одним днём;Ни одного цифрового следа;План получателей;Факт получателей;Факт к плану, %;Потенциал численности;Факт к потенциалу, %
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046273;ООО Химпром;Малые;Носова Ирина Викторовна;1;0;0;0;1;Не начат;False;False;False;14;0;0,0;30;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046282;ГБУЗ Юпитер;Микро;Носова Ирина Викторовна;1;0;0;0;1;Не начат;False;False;False;5;0;0,0;9;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046287;ГБУЗ Импульс;Микро;Абрамова Полина Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;3;0;0,0;4;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046295;ООО Триумф;Малые;Абрамова Полина Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;True;13;0;0,0;32;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046308;ПАО Дельта;Средние;Шилов Александр Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;False;22;1;4,5;102;1,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046330;ИП Вектор;Крупные;Абрамова Полина Дмитриевна;1;0;0;0;1;Не начат;False;False;False;296;0;0,0;940;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046338;ИП Юпитер;Микро;Юдина Наталья Сергеевна;2;1;0;0;1;Отработан частично;False;False;False;2;0;0,0;4;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046343;АО Импульс;Малые;Носова Ирина Викторовна;1;0;0;0;1;Не начат;False;False;False;19;0;0,0;35;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046351;АО Каскад;Малые;Шилов Александр Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;False;15;2;13,3;40;5,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046359;ГБУЗ Дельта;Малые;Юдина Наталья Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;7;0;0,0;37;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046363;МБУ Орион;Средние;Носова Ирина Викторовна;1;1;0;0;0;Отработан полностью;False;False;False;38;0;0,0;88;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046398;ПАО Фаворит;Рег. госсектор;Юдина Наталья Сергеевна;1;1;1;0;0;Отработан полностью;False;False;False;117;82;70,1;168;48,8
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046403;АО Ярд;SBI;Яковлева Ольга Ивановна;1;0;0;0;1;Не начат;False;False;False;41;0;0,0;104;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046410;МБУ Юпитер;Малые;Абрамова Полина Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;True;5;0;0,0;22;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046424;АО Сатурн;Крупные;Шилов Александр Дмитриевич;2;2;1;0;0;Отработан полностью;False;False;True;360;2;1,5;664;0,3
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046445;НКО Вектор;Средние;Абрамова Полина Дмитриевна;1;0;0;0;1;Не начат;False;False;False;31;0;0,0;109;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046464;ООО Новация;Микро;Абрамова Полина Дмитриевна;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;2;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046468;ООО Вектор;Крупные;Шилов Александр Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;True;334;1;0,3;457;0,2
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046494;ПАО Автодор;Микро;Шилов Александр Дмитриевич;2;1;1;0;1;Отработан частично;False;False;True;2;1;100,0;1;100,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046504;НКО Заря;Микро;Абрамова Полина Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;3;0;0,0;11;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046508;НКО Бриз;Крупные;Юдина Наталья Сергеевна;1;1;0;0;0;Отработан полностью;False;False;False;102;0;0,0;465;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046523;МБУ Эталон;Микро;Шилов Александр Дмитриевич;3;1;0;0;2;Отработан частично;False;False;False;14;0;0,0;9;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046532;АО Эталон;Малые;Юдина Наталья Сергеевна;1;0;0;0;1;Не начат;False;False;False;25;0;0,0;35;0,0
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046547;НКО Каскад;Микро;Абрамова Полина Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;2;1;50,0;8;12,5
Центрально-Черноземный банк;Орловское ГОСБ № 8595;7700046558;ООО Лидер;Малые;Шилов Александр Дмитриевич;1;1;1;0;0;Отработан полностью;False;False;True;9;2;22,2;16;12,5
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046576;НКО Уют;Микро;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;5;0;0,0;11;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046594;ГБУЗ Заря;Рег. госсектор;Ершов Геннадий Иванович;1;1;1;0;0;Отработан полностью;False;False;False;69;69;100,0;178;38,8
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046652;НКО Гранит;Малые;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;25;0;0,0;48;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046683;ООО Эталон;Средние;Белова Валентина Олеговна;1;1;1;0;0;Отработан полностью;False;False;False;113;54;47,8;218;24,8
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046699;ИП Орион;Крупнейшие;Белова Валентина Олеговна;1;1;0;0;0;Отработан полностью;False;False;True;1065;0;0,0;1720;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046733;ПАО Фаворит;Малые;Голубев Виктор Борисович;2;2;0;1;0;Отработан полностью;False;False;False;35;0;0,0;38;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046743;ИП Магистраль;Микро;Ершов Геннадий Иванович;2;0;0;0;2;Не начат;False;False;False;4;0;0,0;6;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046756;НКО Эталон;Малые;Голубев Виктор Борисович;2;2;0;0;0;Отработан полностью;False;True;False;23;0;0,0;25;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046772;ИП Орион;Крупные;Белова Валентина Олеговна;1;1;0;0;0;Отработан полностью;False;False;True;120;0;0,0;224;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046782;АО Химпром;Средние;Тихонова Ольга Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;45;0;0,0;89;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046814;МБУ Химпром;Рег. госсектор;Белова Валентина Олеговна;2;1;0;0;1;Отработан частично;False;False;True;166;0;0,0;223;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046853;НКО Гранит;Средние;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;6;3;50,0;31;9,7
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046876;ГБУЗ Бриз;Средние;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;71;0;0,0;113;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046904;НКО Магистраль;Микро;Белова Валентина Олеговна;2;2;0;2;0;Отработан полностью;False;False;False;8;0;0,0;10;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046910;ООО Импульс;Микро;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046914;ООО Ресурс;Малые;Белова Валентина Олеговна;2;1;0;1;1;Отработан частично;False;False;False;16;0;0,0;27;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046928;МБУ Орион;Микро;Ершов Геннадий Иванович;1;0;0;0;1;Не начат;False;False;False;5;0;0,0;7;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046935;ИП Заря;Микро;Тихонова Ольга Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;4;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046971;ГБУЗ Фаворит;Микро;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;2;1;50,0;11;9,1
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700046984;МБУ Гранит;Малые;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;10;12;120,0;54;22,2
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047015;ООО Сатурн;Микро;Белова Валентина Олеговна;2;1;0;1;1;Отработан частично;False;False;False;4;0;0,0;6;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047020;НКО Каскад;Микро;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;2;2;100,0;6;33,3
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047035;ПАО Прогресс;Малые;Ершов Геннадий Иванович;1;0;0;0;1;Не начат;False;False;False;18;0;0,0;47;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047063;МБУ Бриз;Микро;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047069;ПАО Вектор;SBI;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;13;0;0,0;32;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047105;ГБУЗ Автодор;Микро;Ершов Геннадий Иванович;1;1;0;0;0;Отработан полностью;False;False;False;4;0;0,0;9;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047115;ПАО Вектор;Малые;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;12;0;0,0;26;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047140;ООО Каскад;Микро;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;4;0;0,0;10;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047148;ООО Сатурн;Малые;Тихонова Ольга Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;16;0;0,0;23;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047161;ПАО Химпром;Малые;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;10;0;0,0;30;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047183;НКО Сатурн;Малые;Ершов Геннадий Иванович;1;0;0;0;1;Не начат;False;False;False;19;0;0,0;34;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047204;МБУ Каскад;Средние;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;41;0;0,0;67;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047219;ПАО Автодор;Малые;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;14;0;0,0;29;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047230;МБУ Юпитер;Крупные;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;290;46;15,9;683;6,7
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047245;ИП Лидер;Средние;Тихонова Ольга Дмитриевна;2;0;0;0;2;Не начат;False;False;False;113;0;0,0;113;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047264;АО Каскад;Малые;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;11;0;0,0;24;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047297;МБУ Химпром;Малые;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;19;0;0,0;34;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047304;АО Импульс;Микро;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;7;0;0,0;12;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047317;ООО Сатурн;Крупнейшие;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;931;0;0,0;1725;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047332;МБУ Дельта;Микро;Голубев Виктор Борисович;1;1;0;1;0;Отработан полностью;False;False;True;5;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047355;ООО Химпром;Средние;Ершов Геннадий Иванович;1;0;0;0;1;Не начат;False;False;False;80;0;0,0;113;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047366;МБУ Прогресс;Микро;Тихонова Ольга Дмитриевна;2;2;2;0;0;Отработан полностью;False;False;False;2;2;100,0;2;100,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047371;ГБУЗ Гранит;Малые;Ершов Геннадий Иванович;1;1;1;0;0;Отработан полностью;False;False;False;8;4;50,0;14;28,6
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047394;НКО Триумф;Малые;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;7;3;42,9;12;25,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047411;АО Прогресс;Средние;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;31;0;0,0;132;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047476;ООО Фаворит;Средние;Тихонова Ольга Дмитриевна;3;2;1;1;1;Отработан частично;True;False;False;202;54;78,3;130;41,5
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047493;АО Химпром;Крупнейшие;Белова Валентина Олеговна;1;0;0;0;1;Не начат;False;False;False;1281;0;0,0;2058;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047519;ПАО Ресурс;Микро;Тихонова Ольга Дмитриевна;1;1;1;0;0;Отработан полностью;False;False;False;5;4;80,0;9;44,4
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047541;ГБУЗ Прогресс;Микро;Тихонова Ольга Дмитриевна;4;2;0;1;2;Отработан частично;False;False;False;9;0;0,0;6;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047548;АО Автодор;Средние;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;35;0;0,0;146;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047593;ГБУЗ Вектор;Малые;Белова Валентина Олеговна;1;0;0;0;1;Не начат;False;False;False;16;0;0,0;22;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047621;НКО Бриз;Малые;Голубев Виктор Борисович;2;0;0;0;2;Не начат;False;False;False;18;0;0,0;26;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047666;МБУ Заря;Малые;Тихонова Ольга Дмитриевна;2;0;0;0;2;Не начат;False;False;False;29;0;0,0;25;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047680;ГБУЗ Автодор;Средние;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;23;0;0,0;57;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047688;ООО Ярд;Средние;Белова Валентина Олеговна;2;0;0;0;2;Не начат;False;False;False;77;0;0,0;100;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047696;ПАО Импульс;SBI;Белова Валентина Олеговна;1;0;0;0;1;Не начат;False;False;False;41;0;0,0;81;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047722;НКО Триумф;Микро;Тихонова Ольга Дмитриевна;2;2;0;1;0;Отработан полностью;False;False;False;2;0;0,0;1;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047731;ООО Химпром;Малые;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;9;0;0,0;40;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047736;ПАО Дельта;Малые;Голубев Виктор Борисович;1;1;0;1;0;Отработан полностью;False;False;True;3;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047748;ООО Автодор;Микро;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;6;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047756;ГБУЗ Каскад;Средние;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;True;43;0;0,0;125;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047765;ИП Лидер;Микро;Голубев Виктор Борисович;4;0;0;0;4;Не начат;False;False;False;16;0;0,0;11;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047771;АО Уют;Средние;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;25;0;0,0;98;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047777;ООО Триумф;Микро;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;2;0;0,0;5;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047784;ГБУЗ Прогресс;Средние;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;71;0;0,0;97;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047805;ИП Новация;Микро;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;11;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047847;ПАО Гранит;SBI;Тихонова Ольга Дмитриевна;3;0;0;0;3;Не начат;False;False;False;45;0;0,0;46;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047861;ГБУЗ Новация;Средние;Тихонова Ольга Дмитриевна;2;1;0;0;1;Отработан частично;False;False;False;106;0;0,0;140;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047867;ИП Каскад;Средние;Тихонова Ольга Дмитриевна;2;0;0;0;2;Не начат;False;False;False;163;0;0,0;206;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047892;МБУ Фаворит;Малые;Белова Валентина Олеговна;1;1;0;1;0;Отработан полностью;False;False;False;17;0;0,0;31;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047898;ГБУЗ Сатурн;Микро;Ершов Геннадий Иванович;1;1;0;0;0;Отработан полностью;False;False;True;2;0;0,0;7;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047903;ИП Дельта;Средние;Ершов Геннадий Иванович;1;1;0;1;0;Отработан полностью;False;False;False;59;0;0,0;154;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047923;МБУ Лидер;Микро;Тихонова Ольга Дмитриевна;1;1;0;0;0;Отработан полностью;False;False;False;5;0;0,0;10;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047929;АО Гранит;Микро;Ершов Геннадий Иванович;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;7;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047938;АО Вектор;Микро;Голубев Виктор Борисович;1;0;0;0;1;Не начат;False;False;False;4;0;0,0;10;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047971;ГБУЗ Химпром;Малые;Белова Валентина Олеговна;1;0;0;0;1;Не начат;False;False;False;30;0;0,0;40;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700047982;МБУ Ярд;Микро;Белова Валентина Олеговна;1;0;0;0;1;Не начат;False;False;False;5;0;0,0;6;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048000;АО Юпитер;Микро;Голубев Виктор Борисович;2;1;0;1;1;Отработан частично;False;False;False;2;0;0,0;3;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048015;ГБУЗ Ярд;Рег. госсектор;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;11;0;0,0;15;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048025;ИП Ресурс;Малые;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;2;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048037;МБУ Химпром;Рег. госсектор;Ершов Геннадий Иванович;2;1;0;0;1;Отработан частично;False;False;True;154;0;0,0;119;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048048;АО Центр;Микро;Тихонова Ольга Дмитриевна;2;2;0;1;0;Отработан полностью;False;False;False;5;0;0,0;8;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048055;НКО Каскад;Малые;Тихонова Ольга Дмитриевна;1;0;0;0;1;Не начат;False;False;False;22;0;0,0;32;0,0
Центрально-Черноземный банк;Курское ГОСБ № 8596;7700048064;ИП Автодор;Малые;Ершов Геннадий Иванович;2;1;0;0;1;Отработан частично;False;False;False;15;0;0,0;18;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048097;НКО Уют;Микро;Виноградов Кирилл Иванович;2;2;2;0;0;Отработан полностью;False;False;False;6;2;33,3;7;28,6
Уральский банк;Челябинское ГОСБ № 8597;7700048105;МБУ Центр;Средние;Карпова Полина Олеговна;1;0;0;0;1;Не начат;False;False;False;25;0;0,0;69;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048116;АО Ресурс;Рег. госсектор;Морозова Дарья Викторовна;1;1;1;0;0;Отработан полностью;False;False;False;74;8;10,8;236;3,4
Уральский банк;Челябинское ГОСБ № 8597;7700048121;МБУ Орион;Крупнейшие;Голубева Ирина Александровна;2;1;0;1;1;Отработан частично;False;False;False;1149;0;0,0;1691;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048148;ГБУЗ Автодор;Средние;Виноградов Кирилл Иванович;1;0;0;0;1;Не начат;False;False;False;109;0;0,0;164;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048193;ГБУЗ Орион;Микро;Морозова Анна Дмитриевна;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;9;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048206;ПАО Автодор;SBI;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;23;0;0,0;52;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048221;ИП Ресурс;Микро;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;4;0;0,0;10;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048225;МБУ Гранит;Малые;Морозова Дарья Викторовна;1;1;1;0;0;Отработан полностью;False;False;True;5;1;20,0;21;4,8
Уральский банк;Челябинское ГОСБ № 8597;7700048230;ГБУЗ Вектор;Малые;Виноградов Кирилл Иванович;3;1;0;0;2;Отработан частично;False;False;False;31;0;0,0;26;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048246;ИП Фаворит;Микро;Морозова Дарья Викторовна;1;1;0;0;0;Отработан полностью;False;False;True;4;0;0,0;13;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048261;НКО Ярд;Малые;Карпова Полина Олеговна;1;1;1;0;0;Отработан полностью;False;False;False;19;15;78,9;41;36,6
Уральский банк;Челябинское ГОСБ № 8597;7700048279;ГБУЗ Импульс;Микро;Морозова Дарья Викторовна;3;3;1;2;0;Отработан полностью;True;False;False;4;1;100,0;3;33,3
Уральский банк;Челябинское ГОСБ № 8597;7700048288;ГБУЗ Автодор;Малые;Морозова Анна Дмитриевна;1;0;0;0;1;Не начат;False;False;False;18;0;0,0;30;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048297;МБУ Прогресс;Малые;Фомина Полина Александровна;1;1;1;0;0;Отработан полностью;False;False;False;6;1;16,7;15;6,7
Уральский банк;Челябинское ГОСБ № 8597;7700048303;АО Триумф;Микро;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;1;0;0,0;3;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048315;ПАО Эталон;Рег. госсектор;Жукова Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;28;0;0,0;91;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048324;АО Лидер;Средние;Виноградов Кирилл Иванович;1;1;0;0;0;Отработан полностью;False;False;False;35;0;0,0;113;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048331;ПАО Сатурн;Крупные;Морозова Дарья Викторовна;1;0;0;0;1;Не начат;False;False;False;137;0;0,0;428;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048335;ПАО Фаворит;Микро;Жукова Елена Дмитриевна;1;1;0;1;0;Отработан полностью;False;False;False;5;0;0,0;10;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048350;ООО Импульс;Микро;Фомина Полина Александровна;2;2;1;0;0;Отработан полностью;False;False;False;2;1;100,0;4;25,0
Уральский банк;Челябинское ГОСБ № 8597;7700048360;МБУ Автодор;Микро;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;3;0;0,0;6;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048375;НКО Магистраль;Средние;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;42;0;0,0;108;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048396;НКО Дельта;Средние;Морозова Анна Дмитриевна;2;0;0;0;2;Не начат;False;False;False;44;0;0,0;45;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048401;ПАО Ресурс;Малые;Карпова Полина Олеговна;1;1;1;0;0;Отработан полностью;False;False;False;4;2;50,0;6;33,3
Уральский банк;Челябинское ГОСБ № 8597;7700048405;АО Ярд;Малые;Морозова Дарья Викторовна;1;1;0;0;0;Отработан полностью;False;False;True;22;0;0,0;42;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048417;АО Новация;Крупнейшие;Карпова Полина Олеговна;1;0;0;0;1;Не начат;False;False;False;595;0;0,0;1554;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048419;АО Заря;Крупнейшие;Жукова Елена Дмитриевна;3;2;1;0;1;Отработан частично;False;False;False;7073;1652;93,1;5003;33,0
Уральский банк;Челябинское ГОСБ № 8597;7700048429;ПАО Химпром;Малые;Карпова Полина Олеговна;1;1;1;0;0;Отработан полностью;False;False;False;6;2;33,3;21;9,5
Уральский банк;Челябинское ГОСБ № 8597;7700048437;ООО Новация;Малые;Жукова Елена Дмитриевна;1;0;0;0;1;Не начат;False;False;False;7;0;0,0;20;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048440;ПАО Лидер;Микро;Фомина Полина Александровна;4;1;1;0;3;Отработан частично;False;False;False;14;3;100,0;7;42,9
Уральский банк;Челябинское ГОСБ № 8597;7700048447;МБУ Бриз;Крупные;Голубева Ирина Александровна;1;0;0;0;1;Не начат;False;False;False;249;0;0,0;603;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048463;НКО Новация;Средние;Фомина Полина Александровна;1;1;1;0;0;Отработан полностью;False;False;False;8;1;12,5;24;4,2
Уральский банк;Челябинское ГОСБ № 8597;7700048473;НКО Новация;Малые;Морозова Анна Дмитриевна;1;0;0;0;1;Не начат;False;False;False;15;0;0,0;39;0,0
Уральский банк;Челябинское ГОСБ № 8597;7700048482;НКО Автодор;Микро;Голубева Ирина Александровна;3;3;0;1;0;Отработан полностью;False;False;False;14;0;0,0;10;0,0
